,stk_id,Date,Volume,Close/Last
0,1,03/04/2024,3020306,$615.83
1,1,03/01/2024,4270305,$619.34
2,1,02/29/2024,3572082,$602.92
3,1,02/28/2024,2605242,$596.48
4,1,02/27/2024,4489355,$601.67
5,1,02/26/2024,2393712,$587.65
6,1,02/23/2024,2568852,$583.56
7,1,02/22/2024,3526597,$588.47
8,1,02/21/2024,2281143,$573.35
9,1,02/20/2024,3124236,$575.13
10,1,02/16/2024,4325689,$583.95
11,1,02/15/2024,5220938,$593.46
12,1,02/14/2024,5634226,$579.33
13,1,02/13/2024,3511453,$554.52
14,1,02/12/2024,3608487,$557.85
15,1,02/09/2024,3055698,$561.32
16,1,02/08/2024,3175468,$558.53
17,1,02/07/2024,4373591,$559.30
18,1,02/06/2024,2840300,$555.88
19,1,02/05/2024,4143099,$562.06
20,2,03/04/2024,3020306,$615.83
21,2,03/01/2024,4270305,$619.34
22,2,02/29/2024,3572082,$602.92
23,2,02/28/2024,2605242,$596.48
24,2,02/27/2024,4489355,$601.67
25,2,02/26/2024,2393712,$587.65
26,2,02/23/2024,2568852,$583.56
27,2,02/22/2024,3526597,$588.47
28,2,02/21/2024,2281143,$573.35
29,2,02/20/2024,3124236,$575.13
30,2,02/16/2024,4325689,$583.95
31,2,02/15/2024,5220938,$593.46
32,2,02/14/2024,5634226,$579.33
33,2,02/13/2024,3511453,$554.52
34,2,02/12/2024,3608487,$557.85
35,2,02/09/2024,3055698,$561.32
36,2,02/08/2024,3175468,$558.53
37,2,02/07/2024,4373591,$559.30
38,2,02/06/2024,2840300,$555.88
39,2,02/05/2024,4143099,$562.06
40,3,03/04/2024,134334900,$188.14
41,3,03/01/2024,82243120,$202.64
42,3,02/29/2024,85906970,$201.88
43,3,02/28/2024,99806170,$202.04
44,3,02/27/2024,108645400,$199.73
45,3,02/26/2024,111747100,$199.40
46,3,02/23/2024,78841920,$191.97
47,3,02/22/2024,92739460,$197.41
48,3,02/21/2024,103844000,$194.77
49,3,02/20/2024,104545800,$193.76
50,3,02/16/2024,111346700,$199.95
51,3,02/15/2024,120831800,$200.45
52,3,02/14/2024,81202990,$188.71
53,3,02/13/2024,86759480,$184.02
54,3,02/12/2024,95498600,$188.13
55,3,02/09/2024,84476350,$193.57
56,3,02/08/2024,83034040,$189.56
57,3,02/07/2024,111535200,$187.58
58,3,02/06/2024,122676000,$185.10
59,3,02/05/2024,134294400,$181.06
60,4,03/04/2024,37381520,$177.58
61,4,03/01/2024,31981150,$178.22
62,4,02/29/2024,53805360,$176.76
63,4,02/28/2024,28180480,$173.16
64,4,02/27/2024,31141730,$173.54
65,4,02/26/2024,44368610,$174.73
66,4,02/23/2024,59715240,$174.99
67,4,02/22/2024,55392350,$174.58
68,4,02/21/2024,44575620,$168.59
69,4,02/20/2024,41980330,$167.08
70,4,02/16/2024,48107740,$169.51
71,4,02/15/2024,49855200,$169.80
72,4,02/14/2024,42815540,$170.98
73,4,02/13/2024,56345120,$168.64
74,4,02/12/2024,51050440,$172.34
75,4,02/09/2024,56985990,$174.45
76,4,02/08/2024,42316450,$169.84
77,4,02/07/2024,47174060,$170.53
78,4,02/06/2024,42505520,$169.15
79,4,02/05/2024,55081300,$170.31
80,5,03/04/2024,12324140,$498.19
81,5,03/01/2024,15884880,$502.30
82,5,02/29/2024,17732050,$490.13
83,5,02/28/2024,12715490,$484.02
84,5,02/27/2024,10809600,$487.05
85,5,02/26/2024,12101420,$481.74
86,5,02/23/2024,18374290,$484.03
87,5,02/22/2024,21625810,$486.13
88,5,02/21/2024,12977050,$468.03
89,5,02/20/2024,18015520,$471.75
90,5,02/16/2024,23324620,$473.32
91,5,02/15/2024,24212330,$484.03
92,5,02/14/2024,16858400,$473.28
93,5,02/13/2024,20916600,$460.12
94,5,02/12/2024,19381960,$468.90
95,5,02/09/2024,18413140,$468.11
96,5,02/08/2024,18815100,$470.00
97,5,02/07/2024,23065990,$469.59
98,5,02/06/2024,21655210,$454.72
99,5,02/05/2024,40832380,$459.41
100,6,03/04/2024,11865140,$166.56
101,6,03/01/2024,10405720,$163.09
102,6,02/29/2024,8321448,$157.79
103,6,02/28/2024,5210958,$155.85
104,6,02/27/2024,6021410,$158.30
105,6,02/26/2024,6307616,$157.03
106,6,02/23/2024,5953301,$154.91
107,6,02/22/2024,11407450,$154.75
108,6,02/21/2024,9769463,$152.01
109,6,02/20/2024,8745482,$151.96
110,6,02/16/2024,8429094,$152.69
111,6,02/15/2024,9372391,$155.98
112,6,02/14/2024,8715118,$153.94
113,6,02/13/2024,8976265,$150.04
114,6,02/12/2024,11806350,$153.10
115,6,02/09/2024,11981500,$151.00
116,6,02/08/2024,9448662,$148.18
117,6,02/07/2024,7361904,$145.89
118,6,02/06/2024,7286261,$144.10
119,6,02/05/2024,8032550,$144.03
120,7,03/04/2024,25214520,$49.13
121,7,03/01/2024,18508070,$48.40
122,7,02/29/2024,22962460,$48.37
123,7,02/28/2024,14635130,$48.06
124,7,02/27/2024,12515380,$48.31
125,7,02/26/2024,13018740,$48.40
126,7,02/23/2024,13141860,$48.86
127,7,02/22/2024,22020350,$48.57
128,7,02/21/2024,15999170,$48.48
129,7,02/20/2024,26402460,$48.28
130,7,02/16/2024,24912310,$48.44
131,7,02/15/2024,42766540,$49.06
132,7,02/14/2024,31176440,$50.28
133,7,02/13/2024,23633710,$49.64
134,7,02/12/2024,19046330,$49.99
135,7,02/09/2024,24076860,$50.13
136,7,02/08/2024,19598990,$49.95
137,7,02/07/2024,16794360,$49.77
138,7,02/06/2024,19265800,$49.98
139,7,02/05/2024,19601990,$49.51
140,8,03/04/2024,17595960,$414.92
141,8,03/01/2024,17823450,$415.50
142,8,02/29/2024,31947260,$413.64
143,8,02/28/2024,13183130,$407.72
144,8,02/27/2024,14835830,$407.48
145,8,02/26/2024,16193510,$407.54
146,8,02/23/2024,16295880,$410.34
147,8,02/22/2024,27009870,$411.65
148,8,02/21/2024,18631070,$402.18
149,8,02/20/2024,24307920,$402.79
150,8,02/16/2024,22296500,$404.06
151,8,02/15/2024,21825530,$406.56
152,8,02/14/2024,20401190,$409.49
153,8,02/13/2024,27824940,$406.32
154,8,02/12/2024,21202920,$415.26
155,8,02/09/2024,22032840,$420.55
156,8,02/08/2024,21225260,$414.11
157,8,02/07/2024,22340530,$414.05
158,8,02/06/2024,18382620,$405.49
159,8,02/05/2024,25352290,$405.65
160,9,03/04/2024,7321004,$92.46
161,9,03/01/2024,7995399,$93.16
162,9,02/29/2024,11221060,$94.90
163,9,02/28/2024,5622420,$93.00
164,9,02/27/2024,5356076,$94.13
165,9,02/26/2024,7043838,$94.28
166,9,02/23/2024,6845440,$95.62
167,9,02/22/2024,8124709,$95.78
168,9,02/21/2024,8286281,$95.02
169,9,02/20/2024,8844526,$93.46
170,9,02/16/2024,5737486,$93.22
171,9,02/15/2024,8877987,$93.22
172,9,02/14/2024,5510631,$94.07
173,9,02/13/2024,8138495,$93.87
174,9,02/12/2024,9224370,$95.47
175,9,02/09/2024,9385584,$97.30
176,9,02/08/2024,9888133,$96.59
177,9,02/07/2024,9077973,$95.31
178,9,02/06/2024,11531490,$95.67
179,9,02/05/2024,7335836,$92.51
180,10,03/04/2024,81510100,$175.10
181,10,03/01/2024,73563080,$179.66
182,10,02/29/2024,136682600,$180.75
183,10,02/28/2024,48953940,$181.42
184,10,02/27/2024,54318850,$182.63
185,10,02/26/2024,40867420,$181.16
186,10,02/23/2024,45119680,$182.52
187,10,02/22/2024,52292210,$184.37
188,10,02/21/2024,41529670,$182.32
189,10,02/20/2024,53665550,$181.56
190,10,02/16/2024,49752470,$182.31
191,10,02/15/2024,65434500,$183.86
192,10,02/14/2024,54630520,$184.15
193,10,02/13/2024,56529530,$185.04
194,10,02/12/2024,41781930,$187.15
195,10,02/09/2024,45155220,$188.85
196,10,02/08/2024,40962050,$188.32
197,10,02/07/2024,53438960,$189.41
198,10,02/06/2024,43490760,$189.30
199,10,02/05/2024,69668820,$187.68
200,1,03/04/2024,3020306,$615.83
201,1,03/01/2024,4270305,$619.34
202,1,02/29/2024,3572082,$602.92
203,1,02/28/2024,2605242,$596.48
204,1,02/27/2024,4489355,$601.67
205,1,02/26/2024,2393712,$587.65
206,1,02/23/2024,2568852,$583.56
207,1,02/22/2024,3526597,$588.47
208,1,02/21/2024,2281143,$573.35
209,1,02/20/2024,3124236,$575.13
210,1,02/16/2024,4325689,$583.95
211,1,02/15/2024,5220938,$593.46
212,1,02/14/2024,5634226,$579.33
213,1,02/13/2024,3511453,$554.52
214,1,02/12/2024,3608487,$557.85
215,1,02/09/2024,3055698,$561.32
216,1,02/08/2024,3175468,$558.53
217,1,02/07/2024,4373591,$559.30
218,1,02/06/2024,2840300,$555.88
219,1,02/05/2024,4143099,$562.06
